Partner_id,Recommended_Products,Similarity_Scores
868_44,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
801_18,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
600_77,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
850_67,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
266_26,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
996_88,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
530_1,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
056_15,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
121_13,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
216_62,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
026_16,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
073_4,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
045_7,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
248_10,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
722_56,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
282_21,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
894_21,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
915_70,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
811_4,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
245_16,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
823_29,"['ACB(Air Circuit Breaker)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3739837398373984), np.float64(0.36935483870967745), np.float64(0.3672787979966611)]"
322_90,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
644_88,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
159_32,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
978_32,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
430_42,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
942_99,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
463_40,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
310_36,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
698_19,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
061_36,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
885_28,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
596_41,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
768_92,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
650_13,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
651_17,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
866_19,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
669_86,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
299_31,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
690_27,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
315_41,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
311_67,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
362_31,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
480_99,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
111_33,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
990_83,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
487_93,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
364_12,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
255_48,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
260_5,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'PSS(Compact Sub-Stations)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
803_67,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
678_41,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
495_89,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
671_53,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
378_49,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
527_32,"['RMU(Ring Main Unit)', 'E-House', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3733333333333333), np.float64(0.3664495114006515), np.float64(0.3642172523961661)]"
846_76,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
138_61,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
356_91,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
366_79,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
943_6,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
750_47,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.373083475298126), np.float64(0.3642172523961661), np.float64(0.3633333333333333)]"
949_67,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
830_46,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
657_95,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
200_98,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
214_13,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
409_39,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
333_65,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
209_43,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
614_45,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
079_77,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
